Measurement date,Wind Speed,Wind Direction,Atmo. Movement W/E,Atmo. Movement S/N,Visibility
2017-01-04 06:00:00,1.1,360.0,98.74714140282474,-23.61748254729865,1228
2017-01-04 07:00:00,1.2,20.0,92.53356357489687,-17.83422890314215,1188
2017-01-04 08:00:00,0.8,360.0,88.2135635748969,-14.954228903142154,1067
2017-01-04 09:00:00,0.9,360.0,88.2135635748969,-12.074228903142151,909
2017-01-04 10:00:00,2.4,270.0,94.14724882703348,-11.089210890364226,396
2017-01-04 11:00:00,2.4,270.0,101.30972180786658,-7.029738768569101,434
2017-01-04 12:00:00,3.5,270.0,110.9546677695328,1.0892054750211442,557
2017-01-04 13:00:00,2.9,250.0,117.07124118262047,7.6671954831889675,609
2017-01-04 14:00:00,3.5,230.0,115.8981421744659,3.5081436522502822,782
2017-01-04 15:00:00,2.8,250.0,112.85353808311957,4.616288916625451,1113
2017-01-04 16:00:00,3.5,270.0,116.35293009886612,12.252605719701538,1247
2017-01-04 17:00:00,2.5,270.0,115.27293009886614,12.252605719701538,1283
2017-01-04 18:00:00,2.3,270.0,114.19293009886611,12.252605719701538,1357
2017-01-04 19:00:00,2.5,290.0,115.8101636859393,15.330787009632559,1324
2017-01-04 20:00:00,2.8,270.0,118.33016368593928,15.330787009632559,1300
2017-01-04 21:00:00,1.0,110.0,108.46727025111002,14.099514493660154,1310
2017-01-04 22:00:00,1.0,290.0,106.09016368593929,15.330787009632562,1342
2017-01-04 23:00:00,0.4,0.0,103.04555959459294,15.662641745257394,1309
2017-01-05 00:00:00,1.3,230.0,106.63064758838975,11.21439573192439,1391
2017-01-05 01:00:00,0.8,270.0,109.51064758838979,10.494395731924389,1368
2017-01-05 02:00:00,0.3,0.0,109.51064758838976,9.05439573192439,1251
2017-01-05 03:00:00,1.4,50.0,106.26541985305631,10.602598567329913,1281
2017-01-05 04:00:00,0.7,20.0,106.26541985305631,10.602598567329913,1173
2017-01-05 05:00:00,1.9,20.0,105.15727458868116,13.647202658676255,1119
2017-01-05 06:00:00,1.7,50.0,100.469082596793,13.621062829957877,1022
2017-01-05 07:00:00,2.6,50.0,94.77643362836626,15.57808273482876,1111
2017-01-05 08:00:00,2.6,70.0,85.98091069781015,15.899391276357024,1185
2017-01-05 09:00:00,2.1,70.0,78.87683448466869,15.245063559899076,1266
2017-01-05 10:00:00,3.4,50.0,60.8604505008924,23.112783902462322,1528
2017-01-05 11:00:00,3.1,50.0,43.671394515684604,30.2862936265641,1708
2017-01-05 12:00:00,3.1,50.0,22.52233853047681,37.459803350665894,1712
